candidate_id,candidate_name,similarity_score,statements,gpt_alignment_score,issue_relevance_score
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwNTI3MDI=,John J. Reid II,50.478,"EDUCATION: John Reid wants the government to provide opportunities for your kids but not mandates and indoctrination. Parents must- in almost all cases- be the final decision makers in their children’s upbringing.
IMMIGRATION: John Reid is dedicated to enforcing immigration laws, not allowing localities to ignore them. He has a proven track record of advocating for the rule of law, ensuring that our immigration policies are respected and uniformly applied across all communities.
TAXES / BUDGET: John Reid believes YOU know best how to live your life and will fight to allow adults to make their own decisions without government intervention. He also believes we all must pay our own bills and personally own and be responsible for the consequences- good and bad- of our decisions.
TAXES / BUDGET: John will fight to finally eliminate the hated car tax and to lower real estate taxes and burdensome business taxes. Government must do less with less.
CRIMINAL JUSTICE / PUBLIC SAFETY: John knows that a stable and safe community is dependent on strong and fair individuals who deal with good citizens in their worst moments and deal with violent and deviant criminals every day. John stands with law enforcement.
GUNS: Defending the Second Amendment.
WAGES / JOB BENEFITS: Bringing Business and Jobs to Virginia.
EDUCATION: His focus is on ensuring that our educational system imparts knowledge and critical thinking skills, not political bias, preparing students for success in a diverse world instead of creating radical activists.
TAXES / BUDGET: John Reid is committed to unleashing a business-friendly future that ceases to throttle it with taxes and over-regulation.
EDUCATION: John Reid believes we should prioritize first-class learning in education, free from leftist indoctrination.
TAXES / BUDGET: By advocating for lower taxes and de-regulation, John’s policies will focus on creating a thriving economic environment that encourages investment, innovation, and job creation.
ABORTION / CONTRACEPTION: Pro life.",8,8
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwNTU2MDc=,Delores R. Oates,49.216,"GUNS: “The right of the people to own and bear arms, shall not be infringed.” Our Second Amendment rights have secured the survival of the Republic. Currently, we are seeing elected bodies across the country using tragedy as an opportunity for increased gun legislation. As your Delegate, I will defend our constitutional rights.
ABORTION / CONTRACEPTION: We must protect the rights and the life of the unborn. Human life begins at conception, and we are morally and legally obligated to safeguard the life of the unborn. As your Delegate, I will support legislation that will defend the unborn and their mothers.
CIVIL RIGHTS: Our country was founded on the basis of escaping tyrannical rule and the freedom to live and worship how we please. In fact, the Statute of Religious Freedom was written right here in Virginia. Any law that prohibits or restricts religious practice is a clear violation of the first amendment. We must continue to ensure that people are free to practice their religious beliefs without government interference.
TAXES / BUDGET: Hardworking Virginians have been hit hard enough by rising prices and bloated government. As your Delegate, I will work to reduce taxes for Virginians and ensure that your money is working for you. We need to spur economic growth in District 31, the first step in doing that is reducing taxes and creating a more business-friendly Virginia.
DRUG POLICY: Sadly, almost everyone today has a friend or relative that has been effected by the opioid epidemic. I have actively been involved in my community to create avenues to recovery for those that are trapped by this horrible sickness. We must create more opportunities to provide assistance to those in desperate need for recovery. Through physical recovery centers and trained mental healthcare providers we will be the solution to this deadly disease that is sweeping through our Commonwealth and our Country.
IMMIGRATION: National Security is border security. We cannot continue to exist as a sovereign nation as long as our border security stays underfunded and unimportant to our elected leaders. The privilege to live in the United States has a process in place to allow for legal and safe immigration. It is essential to the safety and security of the citizens of this Country that our borders are secure. In the House of Delegates, I will oppose so-called ‘sanctuary city’ policies and in-state tuition for illegal immigrants. We should not be rewarding those who break our nation’s laws.
EDUCATION: Ensuring that our children receive a topflight education is my top priority. However, we must ensure parents remain the primary educators and drivers of what their children learn. Parents have a fundamental right to choose what students are taught in the classroom. That includes not just curriculum but school choice, vouchers, and tax credits for parents who homeschool their kids. The role of educators should be to prepare the leaders and the workforce of tomorrow, and teach them how to think, not to indoctrinate them with a woke agenda.
GOVERNMENT REFORM: Being a public servant means sacrificing personal gains for the betterment of the community. As your next Delegate, I remain committed to being a servant leader for Virginia. It is vitally important that the public can place their trust in elected leadership. We can achieve this through increased government transparency and eliminating the ability to profit off elected office.
GOVERNMENT REFORM: It is paramount to the future of our Commonwealth and our Country that we restore the trust and integrity of our elections. No citizen should question whether their vote has been accurately collected or counted for who or what they vote for, regardless of their affiliated party. We can achieve this through audits of future elections and common sense voter identification protections.",10,10
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwNTU3MDM=,"Andrew ""Andy"" B. Pittman",46.498,"CRIMINAL JUSTICE / PUBLIC SAFETY: Andy Pittman supports our crimefighters and first responders and steadfastly opposes efforts to defund the police.
GUNS: Andy understands and defends the Constitution and believes that our First Amendment rights would be at risk without the Second Amendment.
WAGES / JOB BENEFITS: Andy believes in freedom for workers and for small businesses. He supports keeping Virginia's right to work status so no one is forced to join and pay dues to a union without his or her consent.
ABORTION / CONTRACEPTION: For Andy, pro-life is not just a political slogan. It's a way of life. We must improve the quality of life for all Virginians – from the preborn and infants to the elderly. Ensuring mothers have the quality medical and economic support needed to care for their children, the highest quality education for students, taking care of seniors, and strengthening the economy so that parents don’t need multiple jobs to support a family, are all top priorities.
TAXES / BUDGET: We need to eliminate the car tax to make life more affordable.
CRIMINAL JUSTICE / PUBLIC SAFETY: Recent years have only proven what we've all known is true - violent criminals belong in prison and not in our neighborhoods. Our opponents in the House of Delegates defend shorter sentences for criminals putting our families at risk. Andy Pittman will make sure those who do the crime do the time.
EDUCATION: Andy Pittman thinks parents should choose the best educational environment for their children and tax dollars should follow that choice. Schools shouldn't be a place for sexual indoctrination and a weak ""opt out"" option is not enough. Education should focus on learning and preparing students for a successful future.
ECONOMY: Jobs are created when cities are safe, the workforce is educated and taxes stay low. Displaced federal workers will need private sector job opportunities, and Andy Pittman will work to make our cities more attractive to employers who are ready to hire.
ENVIRONMENT / ENERGY: Andy also defends fishermen and wants to see the local fishing industry thrive, and not be destroyed by foreign companies engaged in ""reduction fishing"". This mass catching of menhaden, which destroys the food chain for larger fish, is outlawed in every East Coast state except Virginia. Andy will end the days of dead fish washing up onshore and make the Chesapeake Bay the priority it should be.
CRIMINAL JUSTICE / PUBLIC SAFETY: Human trafficking is one of the fastest growing crimes with children being up to 30% of the victims. It is a 150 billion industry and is often paired with other crimes like drug trafficking. We must fight against this scourge and protect the vulnerable through education and invest in training to identify those who may be victimized by traffickers.
ENVIRONMENT / ENERGY: Andy is a stalwart defender of the Chesapeake Bay and supports efforts to keep the Bay clean and pollution free.
DEFENSE / VETERANS: Virginia has always been the home of veterans, but tax policies are making competing states more attractive for many vets. Andy Pittman supports making Virginia the #1 state for veterans by reducing taxes and providing the best career opportunities after military service.
IMMIGRATION: Andy Pittman supports legal immigration and opposes people illegally entering our country. As we've learned in recent years, every state is a border state. We must stop the influx of illegals aliens and drugs at the border.",9,9
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwNTU2NTQ=,Paul V. Milde III,33.117,"INFRASTRUCTURE / TRANSPORTATION: Living along the I-95 corridor, Paul knows transportation is a critical issue for the people of Stafford. Building on his experience as a leader in promoting regional transportation solutions, Paul will take an aggressive approach toward meeting our transportation challenges and reducing gridlock.
EDUCATION: Paul Milde isn’t a biologist. But as the father of two daughters and a son, Paul understands there are innate biological differences between males and females. To ensure fairness and opportunity for Virginia’s school-age athletes, Paul will fight to make sure our schools reserve girls’ sports for biological girls.
DEFENSE / VETERANS: Paul believes Virginia should be America’s most veteran-friendly state. This is why making the proper investments in veteran services is critical to Paul’s approach to honoring those who served.
INFRASTRUCTURE / TRANSPORTATION: Paul will fight for effective land conservation programs in Richmond, giving localities the tools they need to protect against overdevelopment and sprawl.
IMMIGRATION: Paul Milde will support legislation that cuts funding for localities that refuse to work with state and federal law enforcement to enforce our immigration laws. Paul will also support states like Texas and Arizona in their fight to secure our border because the federal government refuses to do so.
ABORTION / CONTRACEPTION: Paul Milde supports Governor Youngkin’s proposal to permit abortions during the first 15 weeks of pregnancy, allowing exceptions later in the pregnancy in cases of rape, incest, and when the life of the mother is endangered. And because Paul Milde is pro-life, he supports the “Born Alive Infant Act,” which would require life-sustaining care for infants born alive.
GUNS: Paul Milde is a steadfast supporter of our 2nd Amendment rights. A lifetime member of the NRA, and a member of GOA and VCDL, Paul is an avid competitive shooter. Paul will stand up for the liberties of law-abiding Virginians and will fight to protect this critical right.
EDUCATION: To ensure all children have the opportunity to achieve their full potential, Paul Milde supports giving parents a choice in the school their child attends. Paul favors Virginia enacting a law similar to Arizona’s, which rebates parents who choose non-public schools a portion of the cost of alternative learning programs/schools. For parents who select traditional public schools for their children, Paul favors targeting increased educational spending directly in classrooms.",7,7
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwNTU1NTA=,Mark L. Earley Jr.,31.753,"IMMIGRATION: Mark is also committed to fighting both illegal immigration and fentanyl epidemic. He introduced legislation to ensure Virginia cooperated with immigration authorities when it comes to illegal aliens who have committed serious crimes. Further, Mark has supported legislation to continue battling the fentanyl crisis, and even serves on the Task Force on Fentanyl and Heroin Enforcement.
ECONOMY: We must do everything we can to create a pro-business climate, which includes resisting tax increases and burdensome regulations. Both Mark and his wife Mary work in small businesses, so they understand the challenges and needs that need to be addressed.
HEALTHCARE: Mental health and addiction must also be top priorities. Sadly, many families know the tragedies that result when we fail to address these issues. As an attorney and foster parent, Mark understands how these issues, if unchecked, can lead to untold damage to families and our communities. We must proactively address these issues.
DEFENSE / VETERANS: Our veterans have served us. We must serve them in return. Virginia can and should be the most veteran-friendly state in America. Mark has both supported and introduced legislation to benefit veterans -- from supporting the VMSDEP to working to increase paid leave to assist veteran family members with healthcare, Mark has and will continue to fight for vets.
TAXES / BUDGET: We should minimize the tax burden on our families and businesses so they can keep more of their own hard-earned money. Families and businesses will always know how to use their money more wisely than the government.
EDUCATION: Mark knows we need to support and improve our public schools. Better pay for teachers, smaller class sizes, and improving school infrastructure should be our top priorities. At the same time we’re strengthening our public schools, we should encourage a diversity of educational options. Parents know that children aren’t one-size-fits-all, so neither should our education system be one-size-fits-all.
HEALTHCARE: We need to focus on real solutions to healthcare. We need easier access, better quality, and far more transparency, achieved through a market driven approach that drives down cost. Giving choice to consumers should always be a top priority.
EDUCATION: We need to fully fund our education system. We need to recruit & retain the best & brightest teachers. We need to keep politics out of the classroom. We need to treat students as individuals, understanding that some will go on to higher education, while others will opt to go directly into the workforce. And in all aspects, we need to respect and empower parents.
CRIMINAL JUSTICE / PUBLIC SAFETY: While we should always seek to improve and innovate our policing, we should never bend to the calls to defund the police. We can both support our law enforcement, while also insisting on accountability and transparency. We must continue to build trust between police departments and communities.
ECONOMY: We must continue to fight inflation by being wise with the state budget and not overspending. Additionally, we need to work to lower the cost of gas, groceries, and everyday items. Part of that is by embracing an all-of-the-above strategy on energy, to make sure we have affordable energy to power our homes and businesses.
CRIMINAL JUSTICE / PUBLIC SAFETY: We must support and fund law enforcement, to ensure responsiveness and effectiveness. We owe our law enforcement better training, better funding, and better support — it makes everyone safer.",8,8
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwODM5NDU=,Jonathan D. Rinaldi,30.638,"HEALTHCARE: I firmly believe that every individual in our state should have the right to work and make decisions about their own bodies. Policies, while important, should not be equated to law, and no one should be compelled into uncomfortable situations that impact their lifestyle and community.
LEGISLATION: It's crucial to safeguard our animals and instill in society a deep appreciation for and protection of the most vulnerable among us. Adequate funding for shelters and investing in TNR (Trap-Neuter-Release) programs citywide is essential.
HEALTHCARE:  Allow families and individuals to purchase coverage with the same advantages granted to businesses, promoting fairness and inclusivity in our healthcare system.
HEALTHCARE: Expand options by introducing health savings accounts, empowering individuals to take control of their healthcare spending and decisions.
HEALTHCARE: Provide financial aid to those who cannot afford coverage, ensuring that everyone has access to essential healthcare.
CRIMINAL JUSTICE / PUBLIC SAFETY: It is no secret that public safety in New York has declined, a direct consequence of misguided policies from our elected officials. Crime rates are on the rise, and the state of the subway system reflects challenges with homelessness and waste. Businesses face threats from shoplifting and theft.  Our platform emphasizes the urgent need for comprehensive public safety reforms. Together, let's address the root causes and implement effective solutions to build a safer and more secure New York for all.
SOCIAL SERVICES: Many experiencing homelessness struggle with mental health and addiction issues. Shifting them between overcrowded shelters or expensive hotels without proper treatment isn't enough.  Placing them in residential areas creates safety concerns. We need specialized facilities for mental health support to address these issues effectively and provide the help they require.
EDUCATION: The New York public school system is falling short in providing quality education for our students. As part of our platform, we advocate for the implementation of school choice and the promotion of parent options to enhance the educational experience.  Additionally, we believe in bringing back trade school instruction to empower future graduates with the skills needed for successful careers. Education should be a pathway to personal and professional fulfillment.
DEFENSE / VETERANS: While it is imperative to provide steadfast support to our troops during their service, it is equally crucial to maintain unwavering assistance upon their return and during times of adversity. These brave individuals have made immense sacrifices to protect us, and it is our duty to offer them our utmost support. Our veterans deserve exceptional benefits and top-notch medical attention, especially when they return wounded after serving our country.
IMMIGRATION: I stand firmly against illegal immigration and amnesty for undocumented individuals. My approach to addressing the challenges posed by illegal immigration consists of three key components:  Securing the Border: Implementing robust measures to secure our borders is essential for maintaining the integrity of our immigration system.  Vigorous Law Enforcement: Enforcing our immigration laws vigorously is crucial to ensuring a fair and just process for all.  Reforming the System: We need to reform the immigration system to benefit those who seek legal entry into our country. This involves promoting hard work, language acquisition, and successful integration as proud Americans.
EDUCATION: Another critical aspect of our platform focuses on preventing the hypersexualization of children in the classroom. Our commitment is to prioritize teaching critical thinking skills, guiding students to learn how to think independently rather than prescribing specific ideologies.
TAXES / BUDGET: I am committed to advocating for the continuation of the 2001 and 2003 tax cuts. I firmly oppose reinstating the marriage penalty, reducing the child tax credit, or maintaining the estate tax. Furthermore, I endorse the gradual elimination of the burdensome Alternative Minimum Tax and support the overhaul of our tax system. My goal is to enhance its accessibility and comprehensibility for all Americans.",10,10
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwODM5NDU=,Jonathan D. Rinaldi,30.638,"HEALTHCARE: I firmly believe that every individual in our state should have the right to work and make decisions about their own bodies. Policies, while important, should not be equated to law, and no one should be compelled into uncomfortable situations that impact their lifestyle and community.
LEGISLATION: It's crucial to safeguard our animals and instill in society a deep appreciation for and protection of the most vulnerable among us. Adequate funding for shelters and investing in TNR (Trap-Neuter-Release) programs citywide is essential.
HEALTHCARE:  Allow families and individuals to purchase coverage with the same advantages granted to businesses, promoting fairness and inclusivity in our healthcare system.
HEALTHCARE: Expand options by introducing health savings accounts, empowering individuals to take control of their healthcare spending and decisions.
HEALTHCARE: Provide financial aid to those who cannot afford coverage, ensuring that everyone has access to essential healthcare.
CRIMINAL JUSTICE / PUBLIC SAFETY: It is no secret that public safety in New York has declined, a direct consequence of misguided policies from our elected officials. Crime rates are on the rise, and the state of the subway system reflects challenges with homelessness and waste. Businesses face threats from shoplifting and theft.  Our platform emphasizes the urgent need for comprehensive public safety reforms. Together, let's address the root causes and implement effective solutions to build a safer and more secure New York for all.
SOCIAL SERVICES: Many experiencing homelessness struggle with mental health and addiction issues. Shifting them between overcrowded shelters or expensive hotels without proper treatment isn't enough.  Placing them in residential areas creates safety concerns. We need specialized facilities for mental health support to address these issues effectively and provide the help they require.
EDUCATION: The New York public school system is falling short in providing quality education for our students. As part of our platform, we advocate for the implementation of school choice and the promotion of parent options to enhance the educational experience.  Additionally, we believe in bringing back trade school instruction to empower future graduates with the skills needed for successful careers. Education should be a pathway to personal and professional fulfillment.
DEFENSE / VETERANS: While it is imperative to provide steadfast support to our troops during their service, it is equally crucial to maintain unwavering assistance upon their return and during times of adversity. These brave individuals have made immense sacrifices to protect us, and it is our duty to offer them our utmost support. Our veterans deserve exceptional benefits and top-notch medical attention, especially when they return wounded after serving our country.
IMMIGRATION: I stand firmly against illegal immigration and amnesty for undocumented individuals. My approach to addressing the challenges posed by illegal immigration consists of three key components:  Securing the Border: Implementing robust measures to secure our borders is essential for maintaining the integrity of our immigration system.  Vigorous Law Enforcement: Enforcing our immigration laws vigorously is crucial to ensuring a fair and just process for all.  Reforming the System: We need to reform the immigration system to benefit those who seek legal entry into our country. This involves promoting hard work, language acquisition, and successful integration as proud Americans.
EDUCATION: Another critical aspect of our platform focuses on preventing the hypersexualization of children in the classroom. Our commitment is to prioritize teaching critical thinking skills, guiding students to learn how to think independently rather than prescribing specific ideologies.
TAXES / BUDGET: I am committed to advocating for the continuation of the 2001 and 2003 tax cuts. I firmly oppose reinstating the marriage penalty, reducing the child tax credit, or maintaining the estate tax. Furthermore, I endorse the gradual elimination of the burdensome Alternative Minimum Tax and support the overhaul of our tax system. My goal is to enhance its accessibility and comprehensibility for all Americans.",10,10
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwODUzOTE=,Burhan Azeem,30.446,"INFRASTRUCTURE / TRANSPORTATION: I am a supporter of bike lanes, Cambridge Bike Safety and their pledge.
INFRASTRUCTURE / TRANSPORTATION: The City’s raised crosswalk installations are a step in the right direction, and I’ll fight for funding to keep up installation here while investing in our sidewalk network and adding protected crossings wherever feasible.
EDUCATION: It’s time we fixed these issues and provided universal access to everyone both for kids and parents who have made the difficult decision to step back from their careers to care for their children. We owe it to these kids and their parents to provide after-school for every single child.
HOUSING: Housing policy is climate policy. We need to build more, greener housing without sacrificing the essence of Cambridge. Our city must remain walkable and transit-based.
INFRASTRUCTURE / TRANSPORTATION: Right now, getting from place to place is just too hard. Transportation is a huge cost-of-living driver, a threat to our economic competitiveness, and our most significant source of greenhouse gas emissions. We need to invest in our transit system and make our roads safer for pedestrians and cyclists.
ENVIRONMENT / ENERGY: I’m pushing hard on making Cambridge a net-zero city.
ENVIRONMENT / ENERGY: As our national leadership guts climate protections, it’s on us to keep fighting for the climate future we deserve. Some of our most significant levers for climate action are housing and transportation policy – despite the attention on national policy, state and local governments control most of what goes on there.
INFRASTRUCTURE / TRANSPORTATION: Frequent and affordable bus service is a backbone of our transit system. As the T continues with its generational Bus Network Redesign, I’ve worked to ensure that Cambridge gets routes that meet current transportation needs. Boston has made significant investments in city-wide Transit Signal Priority, and Cambridge should be next..
HOUSING: Cambridge must build more transit-oriented housing and pursue development without displacement through tenant protections. We also need statewide solutions to tackle our statewide housing crisis.
IMMIGRATION: Burhan is committed to protecting our immigrant communities, keeping Cambridge a sanctuary city, and disallowing local police from participating in ICE raids.",1,1
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwODgwMzc=,Emily E. Hardt,28.939,"SOCIAL SERVICES: I’ll push for a more responsive 311 system and ensure residents get the services they deserve.
ENVIRONMENT / ENERGY: I’ll support bold local climate action, prioritize creating green jobs, and make sure we’re prepared for extreme heat, flooding and rising energy costs.
HOUSING: I will look at our inclusionary housing ordinance to consider a higher percentage of affordable units, push to integrate housing in any large scale commercial development, and to allow for increased housing density near transit while keeping what we love about Davis and Teele Squares.
ENVIRONMENT / ENERGY: We need to move forward with municipal curbside composting to get our food waste out of garbage cans where rats can get it, and enforce fines for businesses and landowners who don’t eliminate known rat habitat and food sources.
INFRASTRUCTURE / TRANSPORTATION: We also need reliable and accessible public transportation that meets residents’ needs. I’ll fight for a fare-free MBTA with improved routes and hours of service. I will also fight for micro-transit with improved north-south connectivity.
GOVERNMENT REFORM: I will advocate for seniors to have a voice in city government and policies that help seniors stay in their homes, such as home modification grants for the installation of accessibility features.
INFRASTRUCTURE / TRANSPORTATION: I will prioritize ensuring that our sidewalks are in good repair and shoveled in the winter, and that our street crossings are safe for pedestrians of all ages and abilities.
SOCIAL SERVICES: I will also work to fund the Council on Aging at sufficient levels to have staff to support seniors and make sure they are connected to the services they need.
HOUSING: I would also advocate for and support home rule petitions to allow for rent stabilization in Somerville and to establish a small transfer fee on high-end real estate transactions to create dedicated funding for affordable housing production and preservation.
HOUSING: I will look for creative solutions like tax relief for small landlords who keep rent below market.
IMMIGRATION: I will also stand up for our immigrant neighbors, oppose federal overreach, and ensure residents know their rights.",2,2
Z2lkOi8vYmFsbG90LWZhY3RvcnkvQ2FuZGlkYWN5LzEwNTgyNzg=,Hugo Garcia,28.121,"ARTS / CULTURE: Support our libraries, museums, food safety agencies and public institutions to make it clear we believe in the law and the constitution.
HOUSING: Focusing on keeping Burien an affordable place to live for working class families, like mine.
ECONOMY: Supporting local businesses to strengthen our local economy by fostering job creation, boosting economic activity, and generating revenue that stays within Burien.
HOUSING: Developing and supporting home preservation for elderly residents to assist them with aging at home in Burien.
IMMIGRATION: Fight for the policies that keep our immigrant neighbors safe from harassment, harm, and family separation.
INFRASTRUCTURE / TRANSPORTATION: Maintaining and updating aging roads, water, and sewer systems.
SOCIAL SERVICES: Investing in our own Public Works facility so we can save more money to keep our human and public safety services well funded.
HOUSING: Improving and streamlining permitting as an incentive for developer-funded housing projects that prioritize multiple units.
WAGES / JOB BENEFITS: Continuing to advocate for fair wages that cover basic living expenses and provide economic security for workers.
INFRASTRUCTURE / TRANSPORTATION: Improving small residential neighborhoods by deploying more speed bumps and traffic calming resources.",2,2
