CPF ID,Filer,Office Sought,Start Balance,Receipts,Expenditures,Current Cash On Hand,Date Filed,Party Affiliation,Winner?
15488,"Zlotnik, Jonathan D.","House, 2nd Worcester","$7,438.52","$11,581.85","$2,350.85","$16,669.52",10/31/25,,False
19426,"Yu, Persis","Senate, Norfolk & Suffolk",$0.00,"$39,581.23","$8,765.70","$30,815.53",10/31/25,,False
17988,"Yanovsky, Vladislav","House, 11th Middlesex","$4,921.28","$1,500.00","$6,220.38",$200.90,10/31/25,,False
17394,"Xiarhos, Steven G.","House, 5th Barnstable","$73,791.82","$13,224.20","$18,572.90","$69,752.12",10/31/25,,False
15223,"Wright, Sandra M.","House, 8th Plymouth","$3,230.28",$0.00,$0.00,"$3,230.28",10/31/25,,False
17118,"Worrell, Christopher J.","House, 5th Suffolk","$25,652.74","$75,171.62","$99,570.82","$1,253.54",10/31/25,,False
15174,"Wong, Donald H.","House, 9th Essex","$19,726.58","$7,316.18","$7,433.87","$19,608.89",10/31/25,,False
12894,"Williams, Bud L.","House, 11th Hampden","$164,686.80","$15,326.03","$10,276.83","$169,736.00",10/31/25,,False
16985,"Williams, Alexander L.","Senate, 1st Essex",$860.26,$0.00,$0.00,$860.26,10/31/25,,False
15463,"Whipps, Susannah M.","House, 2nd Franklin","$11,345.66","$6,195.85","$9,110.00","$8,431.51",10/31/25,,False
18826,"Wells, Richard","House, 7th Norfolk","$6,414.74","$16,905.35","$9,751.12","$13,604.03",10/31/25,,False
15179,"Welch, Korey","House, 5th Plymouth","$2,211.25",$0.00,$0.00,"$2,211.25",10/31/25,,False
19442,"Warren, Peter","House, 2nd Hampden",$0.00,$20.00,$0.00,$20.00,10/31/25,,False
14260,"Walz, Marty","House, 8th Suffolk","$19,594.93",$0.00,"$19,594.93",$0.00,6/30/25,,False
16291,"Walsh, Thomas P.","House, 12th Essex","$53,732.56","$9,679.16","$4,613.61","$58,798.11",10/31/25,,False
18689,"Wallace Spencer, Dee","House, 1st Plymouth","$24,002.60",$0.00,"$24,002.60",$0.00,10/31/25,,False
16351,"Walker, Brett","House, 7th Middlesex","$4,268.58",$0.00,$0.00,"$4,268.58",10/31/25,,False
19398,"Volungis, Adam","House, 1st Worcester",$0.00,"$1,117.67",$854.48,$263.19,10/31/25,,False
16893,"Vitolo, Thomas J.","House, 15th Norfolk","$69,243.68","$65,134.96","$75,703.08","$110,411.31",10/31/25,,False
18065,"Vitale, Ty","House, 6th Essex",$432.19,$0.00,$53.98,$378.21,10/31/25,,False
15025,"Vieira, David T.","House, 3rd Barnstable","$2,015.34","$24,316.27","$16,756.80","$9,574.81",10/31/25,,False
18135,"Videira, Dashe","Senate, Norfolk, Worcester and Middlesex","$5,402.56",$0.00,"$4,846.19",$556.37,10/31/25,,False
15709,"Velis, John Christopher","Senate, Hampden and Hampshire","$91,111.72","$96,996.56","$60,871.71","$128,037.05",10/31/25,,False
17993,"Vaughn, Marcus","House, 9th Norfolk","$26,464.53","$3,188.14","$2,937.29","$26,715.38",10/31/25,,False
16742,"Vargas, Andres X.","House, 3rd Essex","$78,954.82","$17,085.07","$16,280.15","$79,759.74",10/31/25,,False
19395,"VanMeter, Zosia","House, 9th Essex",$0.00,$25.00,$1.75,$23.25,10/31/25,,False
18893,"Van Nes, Joe","Senate, Cape & Islands",$25.00,$0.00,$15.00,$10.00,10/31/25,,False
15751,"Valanzola, Michael J.","Senate, Worcester, Hampden, Hampshire & Middlesex","$6,728.20",$0.00,$649.83,"$6,078.37",10/31/25,,False
17436,"Uyterhoeven, Erika","House, 27th Middlesex","$45,168.77","$7,515.50","$3,936.25","$48,773.49",10/31/25,,False
14427,"Underwood, Robert","House, 9th Hampden",$680.66,$0.00,$0.00,$680.66,10/31/25,,False
15829,"Ultrino, Steven","House, 33rd Middlesex","$76,567.92","$18,764.01","$18,887.29","$76,470.11",10/31/25,,False
16408,"Tyler, Chynah","House, 7th Suffolk","$13,818.40","$18,335.49","$30,419.08","$2,646.04",10/31/25,,False
17600,"Turco, Jeffrey","House, 19th Suffolk","$29,440.83","$103,734.00","$92,631.97","$315,574.12",10/31/25,,False
16311,"Tran, Dean A.","Senate, Worcester & Middlesex",$18.16,$0.00,$5.00,$13.16,10/31/25,,False
13785,"Tosado, Jose F.","House, 9th Hampden","$2,760.25",$0.00,"$1,075.48","$1,684.77",10/31/25,,False
16423,"Toole, Michael E.","House, 1st Bristol",$507.95,$0.00,$30.00,$477.95,10/31/25,,False
18129,"Thurber, Justin","House, 5th Bristol",$515.52,"$1,915.82",$387.19,"$2,044.15",10/31/25,,False
18905,"Thrasher, Christopher","House, 8th Bristol","$1,177.59",$28.32,"$1,150.28",$55.63,10/31/25,,False
19169,"Thach, Davis","House, 17th Worcester",$0.00,$856.06,$790.00,$66.06,10/31/25,,False
19366,"Ternullo, Stephen","House, 31st Middlesex",$0.00,"$7,680.90","$3,668.58","$4,243.40",10/31/25,,False
18113,"Templeton, Huff","Senate, Berkshire, Hampden, Franklin and Hampshire",$192.95,$0.00,$0.00,$192.95,10/31/25,,False
18694,"Tashjian, Mark","House, 2nd Essex","$1,147.76",$0.00,$750.00,$756.99,10/31/25,,False
18824,"Tarsky, Joshua","House, 13th Norfolk","$7,973.15","$12,389.11","$9,938.36","$10,423.90",10/31/25,,False
11916,"Tarr, Bruce","Senate, 1st Essex & Middlesex","$519,436.82","$31,704.06","$46,741.07","$504,399.81",10/31/25,,False
18895,"Tamas, JeannaMarie","Senate, 3rd Suffolk",$229.39,$125.00,$6.00,$348.39,4/30/25,,False
18788,"Sylvia, Mark","House, 10th Bristol","$2,009.57","$43,546.01","$25,690.22","$19,865.36",10/31/25,,False
17882,"Sweezey, Kenneth","House, 6th Plymouth","$1,979.49","$12,547.18","$3,579.64","$10,947.03",10/31/25,,False
17947,"Surillo, Francisco","House, 4th Essex",$628.08,$0.00,$0.00,$628.08,10/31/25,,False
16980,"Sullivan-Almeida, Alyson","House, 7th Plymouth","$54,032.78",$48.99,"$3,625.93","$50,455.84",10/31/25,,False
11466,"Straus, William M.","House, 10th Bristol","$9,011.96",$0.00,"$1,962.58","$7,154.81",10/31/25,,False
13279,"Stein, Nadene","House, 18th Suffolk",$191.08,$0.00,$105.00,$86.08,10/31/25,,False
16897,"Stanton, John A.","House, 4th Barnstable",$90.70,$0.00,$90.70,$0.00,6/30/25,,False
13645,"Stanley, Thomas M.","House, 9th Middlesex","$3,111.76","$29,722.66","$16,754.31","$16,391.58",10/31/25,,False
18792,"St. Gelais, Jesse","House, 8th Bristol","$1,037.29","$6,120.40","$4,248.73","$2,908.96",10/31/25,,False
13758,"Spilka, Karen","Senate, Middlesex and Norfolk","$289,898.37","$265,081.24","$519,681.26","$239,928.55",10/31/25,,False
16653,"Sousa, Priscila","House, 6th Middlesex","$5,578.65","$1,273.61","$5,909.90",$942.36,10/31/25,,False
15877,"Soter, Michael J.","House, 8th Worcester","$7,079.74","$28,031.04","$29,115.95","$5,994.83",10/31/25,,False
18794,"Soares, Manuel","House, 8th Bristol",$280.93,$0.00,$279.62,$1.31,10/31/25,,False
14168,"Smola, Todd M.","House, 1st Hampden","$33,246.38","$15,330.00","$15,008.49","$33,567.89",10/31/25,,False
17644,"Smith, Troy","House, 7th Suffolk","$1,353.10",$0.00,$150.00,"$1,203.10",10/31/25,,False
16472,"Simolaris, George","House, 22nd Middlesex",$621.99,$0.00,$621.99,$0.00,1/31/25,,False
15060,"Silvia, Alan","House, 7th Bristol","$15,956.08","$24,241.83","$31,309.58","$8,888.33",10/31/25,,False
19096,"Silva, Manny","Senate, 1st Bristol & Plymouth",$0.00,"$8,111.00","$7,684.28",$426.72,10/31/25,,False
17931,"Shepherd, Andrew","House, 1st Middlesex",$518.12,$0.00,$2.00,$516.12,10/31/25,,False
16995,"Shepard, Margareth Basilio","House, 6th Middlesex",$300.99,$0.00,$300.99,$0.00,2/28/25,,False
19207,"Shea, J. Timothy","Senate, Middlesex & Worcester",$0.00,$797.30,$453.66,$343.64,10/31/25,,False
17472,"Sharp, Catia","House, 27th Middlesex",$513.69,$0.00,$40.00,$473.69,10/31/25,,False
18127,"Shand, Dawne","House, 1st Essex","$35,972.48","$12,433.05","$10,599.37","$38,673.96",10/31/25,,False
17439,"Sena, Danillo","House, 37th Middlesex","$18,415.74","$17,705.32","$17,168.62","$19,346.50",10/31/25,,False
16715,"Sen, Dhruba","House, 6th Middlesex",$462.43,$0.00,$0.00,$462.43,10/31/25,,False
18278,"Segel, Celia","House, 10th Suffolk","$6,032.78",$0.00,$0.00,"$6,032.78",10/31/25,,False
16023,"Schwartz, Gregory","House, 12th Middlesex","$5,087.45","$7,145.68","$4,981.51","$7,251.62",10/31/25,,False
15093,"Schmid, Paul A.","House, 8th Bristol","$29,472.93",$254.31,"$29,977.24",$0.00,4/30/25,,False
17034,"Schmaling, Summer K.","House, 12th Plymouth",$253.98,$0.00,$94.23,$159.75,10/31/25,,False
17168,"Scarsdale, Margaret","House, 1st Middlesex","$33,329.72","$27,425.20","$5,436.04","$55,503.28",10/31/25,,False
17491,"Scanlon, Adam","House, 14th Bristol","$6,397.38","$10,325.25","$8,570.68","$8,651.95",10/31/25,,False
10389,"Scaccia, Angelo M.","House, 14th Suffolk","$1,166.57",$0.00,$0.00,"$1,166.57",10/31/25,,False
17968,"Saylor, Laura","Senate, Bristol & Norfolk",$573.32,$19.08,$0.64,$591.76,10/31/25,,False
15799,"Saunders, Aaron","House, 7th Hampden","$17,811.86","$8,600.27","$32,509.32",-$3.00,10/31/25,,False
16919,"Santiago, Jon","House, 9th Suffolk","$188,433.15",$0.00,$55.00,"$188,378.15",10/31/25,,False
16022,"Sangiolo, Amy Mah","House, 11th Middlesex","$7,267.30","$5,688.87","$5,192.56","$7,936.47",10/31/25,,False
16967,"Sabadosa, Lindsay N.","House, 1st Hampshire","$16,707.32","$14,142.99","$21,699.63","$10,025.68",10/31/25,,False
15544,"Ryan, Daniel Joseph","House, 2nd Suffolk","$2,035.19","$47,827.78","$50,437.28",$839.10,10/31/25,,False
10383,"Rushing, Byron","House, 9th Suffolk","$17,809.25",$0.00,$15.00,"$17,794.25",10/31/25,,False
